sales_order_id,order_date,customer_id,sales_channel,order_status,payment_method,subtotal,discount_total,tax_total,order_total,created_date
RP-000049,2025-09-02,8475,Raven Prime,Closed,Coin,56.89,1.45,5.35,62.24,2025-09-02
RP-000050,2025-07-21,8355,Raven Prime,Closed,Coin,155.91,15.28,13.7,169.61,2025-07-21
RP-000051,2025-08-15,9739,Raven Prime,Open,Coin,37.87,2.22,2.48,40.35,2025-08-15
RP-000052,2025-09-22,9248,Raven Prime,Shipped,Coin,43.06,2.67,3.04,46.1,2025-09-22
RP-000053,2025-07-29,10332,Raven Prime,Closed,Coin,89.52,6.68,7.11,96.63,2025-07-29
RP-000054,2025-08-04,7723,Raven Prime,Shipped,Coin,116.34,7.05,10.29,126.63,2025-08-04
RP-000055,2025-09-26,7040,Raven Prime,Open,Coin,47.78,1.22,3.29,51.08,2025-09-26
RP-000056,2025-09-23,9084,Raven Prime,Closed,Coin,36.65,2.26,2.29,38.94,2025-09-23
RP-000057,2025-08-27,7712,Raven Prime,Closed,Coin,178.27,7.55,13.66,191.93,2025-08-27
RP-000058,2025-07-29,7580,Raven Prime,Shipped,Coin,33.46,3.02,2.09,35.55,2025-07-29
RP-000059,2025-08-05,7786,Raven Prime,Open,Coin,54.23,3.34,3.74,57.97,2025-08-05
RP-000060,2025-09-26,10569,Raven Prime,Shipped,Coin,54.96,4.06,4.26,59.22,2025-09-26
RP-000061,2025-07-07,7597,Raven Prime,Shipped,Coin,95.1,8.18,7.1,102.19,2025-07-07
RP-000062,2025-09-23,8314,Raven Prime,Shipped,Coin,107.62,3.2,8.91,116.53,2025-09-23
RP-000063,2025-08-17,10480,Raven Prime,Shipped,Coin,86.42,6.85,6.37,92.79,2025-08-17
RP-000064,2025-08-03,7756,Raven Prime,Closed,Coin,148.81,11.0,11.6,160.42,2025-08-03
RP-000065,2025-07-17,9956,Raven Prime,Closed,Coin,61.35,1.64,5.28,66.63,2025-07-17
RP-000066,2025-09-01,7160,Raven Prime,Closed,Coin,77.38,5.42,4.84,82.21,2025-09-01
RP-000067,2025-09-02,7517,Raven Prime,Closed,Coin,57.94,2.74,4.62,62.57,2025-09-02
RP-000068,2025-09-27,10310,Raven Prime,Closed,Coin,52.04,1.39,3.39,55.44,2025-09-27
RP-000069,2025-07-02,7466,Raven Prime,Open,Coin,158.34,9.31,13.16,171.5,2025-07-02
RP-000070,2025-09-06,9504,Raven Prime,Closed,Coin,70.91,3.26,4.7,75.61,2025-09-06
RP-000071,2025-09-18,8488,Raven Prime,Shipped,Coin,38.3,2.41,2.39,40.7,2025-09-18
RP-000072,2025-08-10,9551,Raven Prime,Open,Coin,133.54,5.46,10.97,144.52,2025-08-10
RP-000073,2025-07-19,7536,Raven Prime,Shipped,Coin,46.44,2.65,3.66,50.09,2025-07-19
RP-000074,2025-07-26,7219,Raven Prime,Closed,Coin,64.81,5.41,4.85,69.66,2025-07-26
RP-000075,2025-07-11,8112,Raven Prime,Shipped,Coin,88.5,3.48,6.67,95.17,2025-07-11
RP-000076,2025-07-20,8675,Raven Prime,Closed,Coin,154.84,8.34,11.44,166.28,2025-07-20
RP-000077,2025-08-05,7099,Raven Prime,Shipped,Coin,96.38,5.81,7.01,103.39,2025-08-05
RP-000078,2025-09-26,7736,Raven Prime,Closed,Coin,40.99,0.47,2.56,43.55,2025-09-26
RP-000079,2025-08-18,8966,Raven Prime,Shipped,Coin,65.92,2.75,5.49,71.41,2025-08-18
RP-000080,2025-08-20,7669,Raven Prime,Closed,Coin,109.8,6.85,9.41,119.2,2025-08-20
RP-000081,2025-08-08,8336,Raven Prime,Open,Coin,41.05,1.5,2.79,43.85,2025-08-08
RP-000082,2025-09-24,8825,Raven Prime,Closed,Coin,148.19,11.2,10.91,159.1,2025-09-24
RP-000083,2025-09-15,7618,Raven Prime,Shipped,Coin,45.4,2.63,3.15,48.55,2025-09-15
RP-000084,2025-08-14,7391,Raven Prime,Closed,Coin,143.67,9.74,11.39,155.05,2025-08-14
RP-000085,2025-09-30,10261,Raven Prime,Closed,Coin,138.0,4.34,11.03,149.03,2025-09-30
RP-000086,2025-07-04,9435,Raven Prime,Shipped,Coin,77.03,3.88,4.95,81.97,2025-07-04
RP-000087,2025-08-13,8303,Raven Prime,Closed,Coin,62.05,2.78,5.06,67.1,2025-08-13
RP-000088,2025-07-09,8484,Raven Prime,Shipped,Coin,73.33,4.39,5.66,78.99,2025-07-09
RP-000089,2025-07-26,10514,Raven Prime,Closed,Coin,73.52,5.01,6.07,79.59,2025-07-26
RP-000090,2025-07-16,9312,Raven Prime,Closed,Coin,23.0,1.73,1.71,24.72,2025-07-16
RP-000091,2025-09-03,7358,Raven Prime,Closed,Coin,74.09,5.88,4.95,79.04,2025-09-03
RP-000092,2025-08-23,7036,Raven Prime,Closed,Coin,63.12,1.86,5.63,68.74,2025-08-23
RP-000093,2025-08-21,9261,Raven Prime,Closed,Coin,52.03,4.23,4.61,56.64,2025-08-21
RP-000094,2025-08-29,7352,Raven Prime,Closed,Coin,114.41,9.26,7.75,122.17,2025-08-29
RP-000095,2025-09-05,10189,Raven Prime,Closed,Coin,92.4,8.45,6.74,99.14,2025-09-05
RP-000096,2025-09-23,8993,Raven Prime,Shipped,Coin,63.19,4.41,4.3,67.49,2025-09-23
RP-000097,2025-08-31,8545,Raven Prime,Shipped,Coin,125.96,7.47,9.26,135.22,2025-08-31
RP-000098,2025-08-21,9880,Raven Prime,Closed,Coin,10.16,0.36,0.77,10.93,2025-08-21
RP-000099,2025-09-09,8397,Raven Prime,Closed,Coin,91.12,3.32,6.92,98.04,2025-09-09
RP-000100,2025-08-06,9807,Raven Prime,Shipped,Coin,89.31,8.18,8.61,97.92,2025-08-06
RP-000101,2025-08-15,8313,Raven Prime,Closed,Coin,59.34,3.95,4.75,64.09,2025-08-15
RP-000102,2025-09-01,8668,Raven Prime,Shipped,Coin,81.01,6.74,7.0,88.01,2025-09-01
RP-000103,2025-08-29,7179,Raven Prime,Closed,Coin,71.9,3.29,5.6,77.51,2025-08-29
RP-000104,2025-09-27,8377,Raven Prime,Shipped,Coin,37.2,0.91,2.89,40.09,2025-09-27
RP-000105,2025-09-27,8464,Raven Prime,Shipped,Coin,124.32,9.04,8.89,133.21,2025-09-27
RP-000106,2025-07-26,8833,Raven Prime,Closed,Coin,92.04,3.39,6.99,99.02,2025-07-26
RP-000107,2025-08-29,8037,Raven Prime,Shipped,Coin,76.26,2.74,6.04,82.3,2025-08-29
RP-000108,2025-08-11,7108,Raven Prime,Closed,Coin,39.27,0.92,2.99,42.26,2025-08-11
RP-000109,2025-07-22,8387,Raven Prime,Shipped,Coin,52.23,0.87,3.5,55.73,2025-07-22
RP-000110,2025-08-05,9660,Raven Prime,Shipped,Coin,23.4,1.58,1.78,25.18,2025-08-05
RP-000111,2025-07-16,10442,Raven Prime,Shipped,Coin,63.23,3.02,3.95,67.18,2025-07-16
RP-000112,2025-09-14,7548,Raven Prime,Closed,Coin,61.89,3.63,3.87,65.76,2025-09-14
RP-000113,2025-09-04,8006,Raven Prime,Shipped,Coin,36.39,1.25,2.27,38.67,2025-09-04
RP-000114,2025-09-07,9062,Raven Prime,Closed,Coin,82.83,6.16,5.95,88.78,2025-09-07
RP-000115,2025-07-06,10134,Raven Prime,Shipped,Coin,96.98,5.32,7.29,104.27,2025-07-06
RP-000116,2025-08-15,10508,Raven Prime,Closed,Coin,103.84,8.27,7.94,111.79,2025-08-15
RP-000117,2025-07-05,9061,Raven Prime,Open,Coin,58.74,2.06,3.67,62.41,2025-07-05
RP-000118,2025-07-03,8744,Raven Prime,Closed,Coin,61.69,4.35,4.54,66.24,2025-07-03
RP-000119,2025-07-29,7328,Raven Prime,Closed,Coin,19.18,1.0,1.2,20.38,2025-07-29
RP-000120,2025-08-10,9578,Raven Prime,Closed,Coin,59.95,2.13,3.91,63.86,2025-08-10
RP-000121,2025-08-09,8410,Raven Prime,Closed,Coin,100.41,4.26,8.08,108.49,2025-08-09
RP-000122,2025-08-15,8109,Raven Prime,Shipped,Coin,80.95,4.68,6.13,87.08,2025-08-15
RP-000123,2025-09-02,8465,Raven Prime,Shipped,Coin,113.88,6.88,9.53,123.4,2025-09-02
RP-000124,2025-09-18,9601,Raven Prime,Shipped,Coin,102.72,6.75,7.77,110.49,2025-09-18
RP-000125,2025-07-14,7692,Raven Prime,Shipped,Coin,101.41,8.57,6.54,107.95,2025-07-14
RP-000126,2025-07-10,7077,Raven Prime,Shipped,Coin,68.91,4.42,5.11,74.03,2025-07-10
RP-000127,2025-09-01,9648,Raven Prime,Closed,Coin,102.72,6.21,7.28,109.99,2025-09-01
RP-000128,2025-09-19,10062,Raven Prime,Closed,Coin,48.19,3.82,3.01,51.21,2025-09-19
RP-000129,2025-07-01,8096,Raven Prime,Closed,Coin,72.57,5.0,4.54,77.11,2025-07-01
RP-000130,2025-09-13,8296,Raven Prime,Closed,Coin,133.86,7.31,12.69,146.55,2025-09-13
RP-000131,2025-08-28,8730,Raven Prime,Shipped,Coin,36.16,1.4,2.59,38.76,2025-08-28
RP-000132,2025-09-20,7147,Raven Prime,Closed,Coin,49.61,1.26,4.07,53.68,2025-09-20
RP-000133,2025-08-25,8241,Raven Prime,Closed,Coin,119.1,2.35,7.44,126.55,2025-08-25
RP-000134,2025-07-16,8593,Raven Prime,Shipped,Coin,29.95,2.9,2.77,32.71,2025-07-16
RP-000135,2025-09-19,7404,Raven Prime,Shipped,Coin,41.48,1.64,3.56,45.04,2025-09-19
RP-000136,2025-07-19,9228,Raven Prime,Shipped,Coin,160.64,5.12,13.86,174.51,2025-07-19
RP-000137,2025-09-14,9418,Raven Prime,Closed,Coin,168.71,10.37,14.6,183.31,2025-09-14
RP-000138,2025-09-01,8933,Raven Prime,Shipped,Coin,72.3,3.08,5.5,77.8,2025-09-01
RP-000139,2025-07-18,7013,Raven Prime,Closed,Coin,60.9,3.06,5.04,65.94,2025-07-18
RP-000140,2025-09-06,8030,Raven Prime,Closed,Coin,69.32,5.66,5.34,74.66,2025-09-06
RP-000141,2025-09-25,9881,Raven Prime,Shipped,Coin,37.91,1.03,3.56,41.47,2025-09-25
RP-000142,2025-08-10,8246,Raven Prime,Shipped,Coin,161.33,14.91,13.51,174.84,2025-08-10
RP-000143,2025-08-09,8758,Raven Prime,Closed,Coin,71.23,6.52,6.44,77.67,2025-08-09
RP-000144,2025-07-31,7186,Raven Prime,Shipped,Coin,37.29,2.47,2.66,39.94,2025-07-31
RP-000145,2025-09-10,8207,Raven Prime,Closed,Coin,13.54,0.32,0.85,14.38,2025-09-10
RP-000146,2025-08-20,9696,Raven Prime,Open,Coin,33.16,0.62,2.07,35.23,2025-08-20
RP-000147,2025-08-11,9687,Raven Prime,Open,Coin,25.38,1.6,1.59,26.96,2025-08-11
RP-000148,2025-09-04,8782,Raven Prime,Closed,Coin,105.31,6.79,7.99,113.3,2025-09-04
RP-000149,2025-07-08,9243,Raven Prime,Closed,Coin,17.72,1.49,1.39,19.11,2025-07-08
RP-000150,2025-07-20,7848,Raven Prime,Closed,Coin,97.22,6.34,6.41,103.63,2025-07-20
RP-000151,2025-09-16,7124,Raven Prime,Closed,Coin,75.15,5.91,5.56,80.71,2025-09-16
RP-000152,2025-08-06,7315,Raven Prime,Shipped,Coin,131.8,1.85,9.95,141.75,2025-08-06
RP-000153,2025-09-09,8533,Raven Prime,Shipped,Coin,154.12,9.67,11.9,166.02,2025-09-09
RP-000154,2025-08-10,10480,Raven Prime,Closed,Coin,103.32,6.25,8.02,111.35,2025-08-10
RP-000155,2025-07-03,7597,Raven Prime,Shipped,Coin,45.8,1.02,3.0,48.8,2025-07-03
RP-000156,2025-07-22,8003,Raven Prime,Shipped,Coin,109.75,6.58,9.76,119.51,2025-07-22
RP-000157,2025-07-23,7007,Raven Prime,Closed,Coin,60.35,1.91,3.77,64.12,2025-07-23
RP-000158,2025-07-27,8851,Raven Prime,Shipped,Coin,40.31,2.82,2.52,42.82,2025-07-27
RP-000159,2025-07-25,7138,Raven Prime,Shipped,Coin,52.18,3.32,4.14,56.33,2025-07-25
RP-000160,2025-07-03,10033,Raven Prime,Shipped,Coin,98.91,6.25,7.3,106.22,2025-07-03
RP-000161,2025-07-29,9071,Raven Prime,Closed,Coin,65.45,3.02,5.07,70.52,2025-07-29
RP-000162,2025-07-21,9867,Raven Prime,Closed,Coin,20.42,2.01,1.28,21.7,2025-07-21
RP-000163,2025-08-18,7859,Raven Prime,Closed,Coin,73.32,3.59,5.53,78.85,2025-08-18
RP-000164,2025-08-12,7492,Raven Prime,Closed,Coin,62.64,4.97,3.92,66.56,2025-08-12
RP-000165,2025-08-02,8747,Raven Prime,Closed,Coin,66.94,3.98,4.7,71.64,2025-08-02
RP-000166,2025-07-17,7071,Raven Prime,Closed,Coin,42.38,3.5,2.98,45.36,2025-07-17
RP-000167,2025-09-02,7579,Raven Prime,Closed,Coin,139.89,10.99,12.42,152.31,2025-09-02
RP-000168,2025-08-25,8016,Raven Prime,Open,Coin,34.04,0.96,2.13,36.17,2025-08-25
RP-000169,2025-09-27,7067,Raven Prime,Shipped,Coin,74.19,1.86,5.83,80.01,2025-09-27
RP-000170,2025-08-23,8082,Raven Prime,Closed,Coin,41.18,1.32,3.13,44.32,2025-08-23
RP-000171,2025-08-07,9319,Raven Prime,Closed,Coin,135.79,7.4,11.85,147.64,2025-08-07
RP-000172,2025-07-20,8213,Raven Prime,Closed,Coin,137.95,2.55,12.17,150.13,2025-07-20
RP-000173,2025-09-22,8212,Raven Prime,Closed,Coin,60.6,3.28,3.79,64.39,2025-09-22
RP-000174,2025-09-17,8819,Raven Prime,Closed,Coin,48.98,1.27,3.06,52.04,2025-09-17
RP-000175,2025-07-18,7227,Raven Prime,Open,Coin,29.14,2.04,2.38,31.52,2025-07-18
RP-000176,2025-09-09,7859,Raven Prime,Shipped,Coin,71.84,0.56,5.93,77.77,2025-09-09
RP-000177,2025-07-12,9547,Raven Prime,Closed,Coin,28.6,2.46,2.12,30.72,2025-07-12
RP-000178,2025-07-15,9372,Raven Prime,Closed,Coin,46.53,1.31,3.28,49.81,2025-07-15
RP-000179,2025-07-01,8013,Raven Prime,Closed,Coin,49.54,3.26,4.75,54.29,2025-07-01
RP-000180,2025-07-01,10251,Raven Prime,Shipped,Coin,72.33,6.16,4.52,76.85,2025-07-01
RP-000181,2025-07-19,8363,Raven Prime,Closed,Coin,81.26,5.82,6.7,87.97,2025-07-19
RP-000182,2025-08-03,9807,Raven Prime,Shipped,Coin,80.87,2.34,5.05,85.93,2025-08-03
RP-000183,2025-08-28,10532,Raven Prime,Closed,Coin,96.14,3.56,6.68,102.82,2025-08-28
RP-000184,2025-09-12,10461,Raven Prime,Closed,Coin,72.64,4.9,4.88,77.52,2025-09-12
RP-000185,2025-08-09,7385,Raven Prime,Closed,Coin,79.27,3.22,5.51,84.77,2025-08-09
RP-000186,2025-08-01,9074,Raven Prime,Shipped,Coin,85.67,6.73,6.32,91.99,2025-08-01
RP-000187,2025-08-10,7869,Raven Prime,Shipped,Coin,96.44,1.88,8.7,105.15,2025-08-10
RP-000188,2025-09-03,9072,Raven Prime,Shipped,Coin,121.67,4.19,8.45,130.13,2025-09-03
RP-000189,2025-08-07,9389,Raven Prime,Shipped,Coin,62.5,5.23,4.32,66.82,2025-08-07
RP-000190,2025-09-11,7961,Raven Prime,Closed,Coin,135.16,3.38,10.5,145.66,2025-09-11
RP-000191,2025-08-28,7691,Raven Prime,Closed,Coin,51.38,2.65,3.21,54.59,2025-08-28
RP-000192,2025-09-06,7695,Raven Prime,Closed,Coin,58.89,2.65,4.92,63.82,2025-09-06
RP-000193,2025-09-12,10534,Raven Prime,Closed,Coin,73.31,0.81,4.65,77.97,2025-09-12
RP-000194,2025-07-31,10469,Raven Prime,Shipped,Coin,24.31,2.17,1.81,26.12,2025-07-31
RP-000195,2025-08-16,7975,Raven Prime,Open,Coin,53.83,2.48,3.94,57.77,2025-08-16
RP-000196,2025-07-08,10593,Raven Prime,Closed,Coin,91.31,1.91,7.36,98.68,2025-07-08
RP-000197,2025-07-29,9133,Raven Prime,Open,Coin,112.41,2.37,9.47,121.89,2025-07-29
RP-000198,2025-09-14,9161,Raven Prime,Closed,Coin,44.26,3.86,4.0,48.27,2025-09-14
RP-000199,2025-08-08,8497,Raven Prime,Closed,Coin,117.69,6.58,10.33,128.03,2025-08-08
RP-000200,2025-08-26,10521,Raven Prime,Closed,Coin,56.79,2.57,4.45,61.24,2025-08-26
RP-000201,2025-09-13,8933,Raven Prime,Closed,Coin,140.28,5.07,10.35,150.63,2025-09-13
RP-000202,2025-08-30,8406,Raven Prime,Shipped,Coin,86.0,2.93,7.95,93.95,2025-08-30
RP-000203,2025-07-23,8026,Raven Prime,Closed,Coin,110.09,4.64,10.29,120.38,2025-07-23
RP-000204,2025-07-04,9939,Raven Prime,Open,Coin,65.62,4.52,4.1,69.72,2025-07-04
RP-000205,2025-07-14,8648,Raven Prime,Open,Coin,61.16,4.59,4.19,65.35,2025-07-14
RP-000206,2025-09-26,8324,Raven Prime,Open,Coin,76.59,4.97,6.38,82.97,2025-09-26
RP-000207,2025-09-28,8801,Raven Prime,Shipped,Coin,90.68,4.81,7.01,97.7,2025-09-28
RP-000208,2025-07-11,9077,Raven Prime,Shipped,Coin,59.17,2.59,3.7,62.87,2025-07-11
RP-000209,2025-07-02,9998,Raven Prime,Closed,Coin,48.2,3.72,3.01,51.21,2025-07-02
RP-000210,2025-07-05,10268,Raven Prime,Shipped,Coin,143.28,9.74,12.78,156.06,2025-07-05
RP-000211,2025-09-14,9451,Raven Prime,Closed,Coin,60.71,2.16,3.79,64.5,2025-09-14
RP-000212,2025-08-04,9971,Raven Prime,Closed,Coin,127.16,4.75,8.87,136.03,2025-08-04
RP-000213,2025-07-21,8676,Raven Prime,Closed,Coin,34.59,0.85,2.43,37.03,2025-07-21
RP-000214,2025-07-02,8687,Raven Prime,Closed,Coin,140.53,12.57,12.82,153.36,2025-07-02
RP-000215,2025-07-15,8177,Raven Prime,Closed,Coin,44.47,1.06,2.78,47.25,2025-07-15
RP-000216,2025-07-25,9836,Raven Prime,Open,Coin,103.19,7.37,6.45,109.64,2025-07-25
RP-000217,2025-08-07,8489,Raven Prime,Shipped,Coin,69.05,4.3,5.38,74.43,2025-08-07
RP-000218,2025-07-19,9615,Raven Prime,Shipped,Coin,97.92,8.11,7.21,105.13,2025-07-19
RP-000219,2025-07-01,9231,Raven Prime,Shipped,Coin,21.42,0.62,1.34,22.76,2025-07-01
RP-000220,2025-08-16,7649,Raven Prime,Closed,Coin,87.3,5.04,7.4,94.7,2025-08-16
RP-000221,2025-09-28,7345,Raven Prime,Closed,Coin,51.57,1.45,4.72,56.28,2025-09-28
RP-000222,2025-08-11,10269,Raven Prime,Closed,Coin,173.55,5.48,13.05,186.6,2025-08-11
RP-000223,2025-09-18,9952,Raven Prime,Shipped,Coin,63.5,4.55,4.71,68.21,2025-09-18
RP-000224,2025-07-11,9415,Raven Prime,Closed,Coin,38.18,2.16,2.39,40.57,2025-07-11
RP-000225,2025-07-24,9281,Raven Prime,Shipped,Coin,26.52,0.7,2.04,28.55,2025-07-24
RP-000226,2025-09-14,9000,Raven Prime,Closed,Coin,79.34,6.23,5.98,85.32,2025-09-14
RP-000227,2025-09-19,7732,Raven Prime,Open,Coin,37.17,0.74,2.7,39.87,2025-09-19
RP-000228,2025-08-16,10160,Raven Prime,Shipped,Coin,89.81,4.47,7.33,97.14,2025-08-16
RP-000229,2025-09-12,7222,Raven Prime,Shipped,Coin,33.74,1.53,2.11,35.85,2025-09-12
RP-000230,2025-08-10,8032,Raven Prime,Shipped,Coin,89.21,6.99,8.33,97.54,2025-08-10
RP-000231,2025-09-16,7086,Raven Prime,Shipped,Coin,69.74,2.33,4.36,74.1,2025-09-16
RP-000232,2025-07-20,9086,Raven Prime,Shipped,Coin,50.94,0.62,3.65,54.58,2025-07-20
RP-000233,2025-08-28,7665,Raven Prime,Closed,Coin,85.66,6.53,5.97,91.63,2025-08-28
RP-000234,2025-09-14,8513,Raven Prime,Shipped,Coin,126.62,7.06,11.4,138.01,2025-09-14
RP-000235,2025-09-13,9399,Raven Prime,Shipped,Coin,124.98,3.46,7.81,132.8,2025-09-13
RP-000236,2025-09-18,9915,Raven Prime,Shipped,Coin,57.41,4.71,3.59,61.0,2025-09-18
RP-000237,2025-07-06,9095,Raven Prime,Shipped,Coin,36.66,2.8,3.23,39.9,2025-07-06
RP-000238,2025-08-03,9157,Raven Prime,Closed,Coin,29.66,1.8,2.14,31.8,2025-08-03
RP-000239,2025-09-09,9059,Raven Prime,Shipped,Coin,41.27,2.31,3.12,44.39,2025-09-09
RP-000240,2025-08-20,10196,Raven Prime,Closed,Coin,85.81,3.1,5.91,91.72,2025-08-20
RP-000241,2025-08-29,7404,Raven Prime,Open,Coin,48.69,2.17,3.33,52.02,2025-08-29
RP-000242,2025-07-23,7900,Raven Prime,Closed,Coin,42.62,1.44,3.52,46.13,2025-07-23
RP-000243,2025-09-07,9339,Raven Prime,Open,Coin,58.86,4.84,4.47,63.33,2025-09-07
RP-000244,2025-08-26,8371,Raven Prime,Shipped,Coin,64.19,4.58,4.79,68.98,2025-08-26
RP-000245,2025-09-19,8856,Raven Prime,Closed,Coin,134.02,6.85,11.37,145.38,2025-09-19
RP-000246,2025-08-09,10463,Raven Prime,Shipped,Coin,87.8,4.57,7.01,94.81,2025-08-09
RP-000247,2025-07-19,9009,Raven Prime,Open,Coin,41.35,1.03,2.94,44.29,2025-07-19
RP-000248,2025-09-30,7969,Raven Prime,Closed,Coin,52.22,1.76,3.52,55.74,2025-09-30
RP-000249,2025-09-16,10236,Raven Prime,Closed,Coin,59.42,3.41,5.03,64.45,2025-09-16
RP-000250,2025-07-26,8648,Raven Prime,Closed,Coin,74.22,4.5,4.64,78.86,2025-07-26
RP-000251,2025-08-18,9691,Raven Prime,Closed,Coin,38.73,1.69,2.42,41.16,2025-08-18
RP-000252,2025-08-08,7302,Raven Prime,Closed,Coin,86.04,4.3,6.19,92.23,2025-08-08
RP-000253,2025-07-27,7190,Raven Prime,Closed,Coin,63.92,5.14,4.73,68.64,2025-07-27
RP-000254,2025-09-15,10166,Raven Prime,Closed,Coin,139.5,6.43,10.92,150.42,2025-09-15
RP-000255,2025-08-22,8092,Raven Prime,Open,Coin,46.61,1.02,2.91,49.53,2025-08-22
RP-000256,2025-09-08,9523,Raven Prime,Closed,Coin,39.29,2.65,2.46,41.75,2025-09-08
